id_ec,tx_empresa
ba728175226d9f59a487710c3c746631,0.03
e705a22c385c7a01197960203676402e,0.03
fa5580558bf2821dac14702ff21f8293,0.04
3144d3dd355a453d11f976b10c4bcca3,0.04
c3bb12d9e4513741caf0078200599805,0.03
6f7a9bfb47a190d9cbada7a16604f4c1,0.03
23b7f616002060e2e2a560281cb941db,0.02
fa55823b849a55f45f954440d6d6aa56,0.04
a38684db31daddeb6bc32af4c55a1a7c,0.04
3c352ef2f500b66fd6158ed4f3c041b3,0.02
fe09bf1e6e8b62582c783c3ca5bddfaf,0.04
629a428f33d7991d1cedfbb47fa19521,0.04
5a5dc248f59a5213b75f37800587b27f,0.03
acd8fb8b7273386aca36bdaf4dcf918b,0.05
d9acfe93da24ad8e97a9ac6f3159d329,0.03
aa0111a7012f42575e975a5b15e0efab,0.03
4d30306efd50e627d230d76004544755,0.02
bd158802af5a35044768ab97f8359982,0.04
66c1481123d5db655c472891794c494b,0.05
61f1311e8dcfe570c451e152f64947d6,0.03
1aa18ec41b8479ea8abc39652b1287db,0.03
69e0efe1560d70ce98e7eb61fa00bf21,0.02
3d811eaaba9901b1a2bddd7bbf622bba,0.02
66b49175a329c345a02fec7827f3af3e,0.03
4e70ea53651a7e6e20795f4137fa8c98,0.05
f3e2682ef72cbe63b066ad1d8c8d41f5,0.03
ac0b755c6f50b708e1fd9ad070c53dc0,0.03
527c86b2cf3b937ae225e3f6da9b126b,0.03
197eecb6d30d7ce652eb5cde6230da49,0.02
bc7cece498a470eaee911a79f762e34b,0.03
b20ff21556f1ae7ebb7478a42c018ef4,0.02
418173cf36e78fc4b785d7fa8315a917,0.02
30e2402fc3bbdf3f2872cc16d9de434e,0.03
ae47c99202a24a7cf6765477bc47fab8,0.04
977caf63c29fbfddc8ed3c542544e6c0,0.05
ceb720ac1c75833aa5205be6e2a278e5,0.04
c45b594453775c69d351ef8a212473da,0.03
adbf730c1761430e887c4d2b434b53e2,0.04
7b501194f21040202764bb53bb9a811d,0.02
109584ae611192d533feba9297e3fce7,0.02
1437d60842d6919e1d1b86f40167875c,0.04
3659b9c2a82fe54997b293ed8245cc92,0.05
4bc31f29b4b15e13bdfcd2552b9c45ad,0.03
b033d0e5f299be181e05a1152142fc33,0.04
a333ddef9b50f684f0ccb3a22eca5d3b,0.05
66305ca25d026dc72be998513169d836,0.02
d7d90cedcae2c58851a24b574aabe507,0.05
dc179405a9368f209c5872caca5f26ce,0.04
1a448e9b0145e6f2579e502e628dab21,0.03
16afc885aa355d26ab6da5a8cdf34cb4,0.05
115a2622a57eb630fc5f1030298159fb,0.05
f39a9c38bd5b0c6d2c4ada025fc1380a,0.05
bc3c583a1e90e7ef6c26d62b65ad092b,0.04
55e242defea82e2df2d16dd937487c37,0.05
1d591c09a7fdf8a737e981018840f4ba,0.04
c540b517baeca526d5e0a806525b1940,0.04
c4882b339a1a3459f99fdf69cded1c09,0.04
89d1171a41499dc6a2ba23d96ba8c6a5,0.04
e95f3438baa6e2cee8542c77646d0821,0.05
47b2df419d20cdf9fa58f2917b83a815,0.02
86a871bb0240a4af70fa846a51044728,0.04
68411cc546f0aefee4945ae85ae30f0a,0.02
4a54d33d01564bb26d173ed344273352,0.04
0cd6188a2c1d81644fe73c5f10eb5c3d,0.02
e978230e7fb527df5313ae33c5780564,0.03
2589b79e5c1c6034988e3129745bee27,0.03
ab7b8436f7f87b3acba50a42d3160e07,0.04
57fe1549204113d33be2c9baeaf075fb,0.03
1732825619bb284b10e96981e5ff0ad9,0.03
709d9700c956486a655c39c8384608ef,0.02
18aa659310ac855c874329b5954bdb87,0.03
dd066a03545231067b37c35a57496c5d,0.04
bc3e03cb7fc12a311f40ceb48711253a,0.04
1ebd53056ec4f526e2adb50c0d65af61,0.04
61c23dd8dc0c1e7dce0afa2f0443ae4f,0.02
4511bc94f2678a73abe476cb16f5e879,0.03
b03a7b5623f6d7b71405b306996e64c6,0.05
01b5e8e1f97c09fa6ecb82775ec4c659,0.04
3cfe8f0dd5c4f760e71e48f5a6b7ae80,0.02
bd20c96be4d88c957e7369fd482d998a,0.03
b2f5630ce7d565d0910113a16796c9ca,0.03
f9c22cd35dbc86b0dde7a2b140359551,0.04
7fec2d9d5f024eb014463352cebefb88,0.05
6b9ecaa6620e3c8b42f0ec4d03df32be,0.04
f55a6ebc0988d9f3635d96afaf39b0f7,0.04
00af9bc4889f5855ef03a05939db6a3e,0.03
2a53514f71d886fd110b44a399a0d606,0.03
71a52e1851b330d5159c8347f53b4412,0.02
78594b955cee125afb85309aa4a952a2,0.05
a7ecf352f52192dc781e1819786b246f,0.04
07ac6e4a1b7a60e31fce646e0cc0db92,0.02
d77785110fb8f3756dad4adf58066345,0.03
f185734d6afc1fa8adc94ee286dedb8c,0.04
e89b7dde09eb73af04dae2c986e250aa,0.03
dd5b89fa9180bae08fdf55aede669210,0.03
0b275fa300bf055b04185b5a92e0e2db,0.02
1e398c218976c4df502b81ab00d1fc84,0.04
12c560acce7521458cb886651155324c,0.03
8561dd658b44e8be2b64efa3c640465e,0.03
92e6f9679fe01997ee14a9d714a46b87,0.04
60de8d4ffca8c2cc0c977bf760c2e765,0.03
