id_trabalhador,aceita_recomendacao,aceita_termo,dat_nascimento,dsc_idade,dsc_sexo
606b549b430f60065aeb426078abcc3e,1,1,2002-08-30,22,Feminino
fc4a3b89f02be57c2a624021e5995019,1,1,1983-02-25,42,Masculino
04163892195c55ac6509be98b6fce035,1,1,1995-11-27,29,Feminino
536d059b75b5cd929cc032dc1d142cef,1,1,1973-02-26,52,Não informado
493f55660ae7cd741cebf6393e12a526,1,1,1989-12-18,35,Feminino
2157f9685f241ab2559339aa0ef6dd45,1,1,1961-01-26,64,Não informado
1aee7d483e350eaf4c43f73e4aa53210,0,0,1997-03-02,28,Não informado
0e77e39bb18313ca675b41b8dc783fbb,1,1,1986-04-04,39,Não informado
6f2d355047a45f38280b7cd315b4ab99,1,1,1991-12-31,33,Não informado
6f790aefbe4449180746ba52c9829c27,1,1,1950-10-24,74,Feminino
cd9d50542601333eab41df3b847e5533,1,1,1980-10-23,44,Não informado
3e79defc12587579fe420398d3a1a967,0,0,1985-11-03,39,Não informado
d0bcfd075c6bc0654fea96b04661cd0a,0,1,1989-08-30,35,Não informado
f04bb550e1be0d7604ef81be42c4882a,1,1,1991-03-16,34,Não informado
e392cb03c6a2ff16fdc3f3eda2a4c445,1,1,1976-08-16,48,Não informado
1251fa3912d08a8d13db2e274e457ddd,1,1,2001-03-06,24,Feminino
bf1be98f0b65fbde1975dc5660acbb2b,1,1,1992-10-21,32,Masculino
dfc23474b8f75f04119f60be18677c48,1,1,1978-11-12,46,Não informado
622a93e915758efde107cd8899a05960,1,1,1989-12-08,35,Não informado
ed7157fdf6fe57cb26b4584ecf58e16d,1,1,1984-06-21,40,Não informado
3dd79bceff68eac1ef6d0bdf734a6bb9,0,0,1996-04-22,29,Feminino
9114698cf0808903641fb5708d1153eb,1,1,1984-08-28,40,Não informado
52a024987568d8d1b809ff28dc3b18cb,0,0,1986-01-20,39,Não informado
8c79c1bf72dd4ac57a76c5e881ee7bed,1,1,1993-01-11,32,Não informado
131478d6ca39404567b83dd36d0074d1,1,1,1975-11-22,49,Não informado
2131a4d1794f65c84043cab8e5b7d00c,1,1,2005-04-06,20,Não informado
bd1b71f0bcbb6204091b9707705e3fcf,1,1,1983-02-03,42,Não informado
72d33baba0e593f7c71a977df8dc75c5,1,1,1955-12-15,69,Não informado
9b790cf40b77662e098484a0017ef428,1,1,1976-09-04,48,Não informado
18ac09e67ddba667176ca55c26bacd80,0,0,1985-06-21,39,Não informado
b0600fc2c2896fa3a9dc073c8335d6a9,0,0,2000-08-07,24,Feminino
0d669793c988262017322abd7387d586,1,1,1953-07-25,71,Não informado
bd988545517c5cab5c07372e5b8d1b43,1,1,1990-08-31,34,Não informado
c0b5f7892b56aec1cdd8e97004b45d1c,1,1,1968-07-28,56,Não informado
c74a9c9fa3f0d31309c016b7ad45de54,1,1,1982-07-17,42,Não informado
d20f174e1708da111c7ca0c684cd0876,0,0,1976-04-13,49,Não informado
74a140a36e87d69857ed14ec1605a496,1,1,1993-07-31,31,Feminino
8755f659d50cf75167edf5d94f3553b8,1,1,1982-11-26,42,Não informado
649f76e37c9530f4aaa5208e21f5b92d,1,1,1967-09-27,57,Não informado
58be7991bfa2796e17b9206a712a4690,1,1,1986-05-08,39,Masculino
